-28.670	63.198	568.602	26.516	91.713	2.527
-28.610	63.241	568.504	26.525	91.689	2.432
-28.547	63.295	568.402	26.527	91.640	2.311
-28.484	63.353	568.299	26.531	91.574	2.175
-28.426	63.425	568.174	26.541	91.547	2.051
-28.368	63.505	568.039	26.541	91.479	1.922
-28.316	63.585	567.931	26.554	91.428	1.767
-28.269	63.676	567.810	26.532	91.377	1.651
-28.215	63.760	567.660	26.525	91.378	1.506
-28.165	63.875	567.511	26.535	91.370	1.378
-28.113	63.996	567.358	26.565	91.326	1.181
-28.085	64.120	567.209	26.572	91.298	1.024
-28.050	64.268	567.088	26.588	91.236	0.849
-28.006	64.429	566.942	26.569	91.199	0.717
-27.981	64.607	566.773	26.573	91.200	0.577
-27.963	64.791	566.638	26.575	91.199	0.436
-27.919	64.997	566.496	26.582	91.185	0.261
-27.904	65.168	566.386	26.568	91.165	0.119
-27.881	65.347	566.265	26.570	91.121	-0.043
-27.861	65.534	566.107	26.548	91.068	-0.187
-27.848	65.737	565.972	26.553	91.060	-0.284
-27.836	65.932	565.846	26.530	91.084	-0.413
-27.846	66.128	565.710	26.545	91.064	-0.578
-27.866	66.316	565.608	26.544	91.048	-0.742
-27.887	66.535	565.504	26.545	91.010	-0.876
-27.920	66.736	565.337	26.560	90.930	-1.030
-27.966	66.939	565.206	26.558	90.907	-1.142
-28.016	67.124	565.091	26.565	90.891	-1.232
-28.086	67.326	564.975	26.563	90.900	-1.342
-28.156	67.487	564.895	26.565	90.857	-1.441
-28.241	67.652	564.820	26.584	90.853	-1.544
-28.329	67.787	564.750	26.584	90.838	-1.624
-28.405	67.914	564.686	26.586	90.806	-1.704
-28.473	68.046	564.615	26.598	90.783	-1.767
-28.546	68.182	564.556	26.615	90.764	-1.817
-28.605	68.315	564.494	26.611	90.743	-1.858
-28.648	68.457	564.442	26.615	90.734	-1.918
-28.686	68.580	564.405	26.635	90.733	-1.930
-28.716	68.708	564.395	26.646	90.725	-1.948
-28.747	68.835	564.393	26.663	90.722	-1.946
-28.762	68.961	564.406	26.679	90.709	-1.945
-28.784	69.092	564.434	26.678	90.710	-1.921
-28.796	69.203	564.477	26.699	90.703	-1.892
-28.797	69.322	564.528	26.730	90.704	-1.847
-28.797	69.413	564.596	26.731	90.702	-1.797
-28.775	69.500	564.684	26.743	90.702	-1.724
-28.766	69.592	564.738	26.751	90.701	-1.648
-28.728	69.681	564.808	26.767	90.685	-1.582
-28.674	69.776	564.882	26.775	90.673	-1.499
-28.633	69.881	564.956	26.770	90.677	-1.387
-28.596	69.960	565.029	26.798	90.652	-1.281
-28.543	70.045	565.152	26.816	90.626	-1.232
-28.494	70.105	565.262	26.839	90.614	-1.169
-28.445	70.172	565.380	26.858	90.635	-1.063
-28.399	70.228	565.510	26.859	90.650	-0.961
-28.337	70.283	565.618	26.856	90.679	-0.847
-28.268	70.333	565.706	26.847	90.691	-0.714
-28.205	70.391	565.815	26.831	90.701	-0.593
-28.113	70.441	565.930	26.819	90.742	-0.485
-28.022	70.484	566.045	26.804	90.778	-0.358
-27.916	70.532	566.148	26.787	90.800	-0.301
-27.789	70.571	566.256	26.772	90.843	-0.251
-27.675	70.620	566.346	26.759	90.898	-0.194
-27.552	70.681	566.443	26.736	90.960	-0.104
-27.423	70.735	566.533	26.702	91.052	-0.017
-27.293	70.790	566.610	26.672	91.124	0.056
-27.158	70.872	566.687	26.658	91.194	0.120
-27.024	70.945	566.765	26.615	91.250	0.186
-26.889	71.028	566.838	26.583	91.312	0.228
-26.755	71.109	566.911	26.554	91.386	0.298
-26.626	71.197	566.980	26.522	91.446	0.350
-26.484	71.281	567.059	26.487	91.507	0.407
-26.351	71.353	567.123	26.464	91.575	0.475
-26.218	71.426	567.171	26.433	91.651	0.509
-26.115	71.496	567.238	26.412	91.694	0.552
-25.994	71.540	567.286	26.377	91.747	0.592
-25.877	71.608	567.349	26.365	91.808	0.642
-25.763	71.657	567.418	26.323	91.880	0.699
-25.648	71.715	567.490	26.291	91.925	0.747
-25.549	71.767	567.575	26.272	91.986	0.809
-25.464	71.815	567.638	26.227	92.040	0.873
-25.399	71.847	567.701	26.207	92.108	0.941
-25.348	71.882	567.762	26.178	92.158	0.998
-25.317	71.886	567.815	26.154	92.221	1.038
-25.301	71.891	567.884	26.131	92.301	1.099
-25.296	71.878	567.919	26.100	92.362	1.145
-25.300	71.852	567.958	26.077	92.434	1.188
-25.318	71.836	567.987	26.058	92.522	1.236
-25.321	71.820	568.008	26.032	92.573	1.269
-25.331	71.808	568.038	25.996	92.665	1.284
-25.339	71.805	568.050	25.987	92.745	1.301
-25.336	71.823	568.059	25.961	92.830	1.315
-25.316	71.847	568.072	25.942	92.898	1.319
-25.301	71.893	568.073	25.909	92.956	1.317
-25.284	71.948	568.082	25.896	93.018	1.313
-25.258	72.007	568.091	25.860	93.081	1.335
-25.234	72.064	568.092	25.844	93.128	1.329
-25.222	72.127	568.109	25.831	93.167	1.328
-25.233	72.195	568.109	25.814	93.203	1.338
-25.230	72.254	568.122	25.799	93.259	1.356
-25.250	72.313	568.130	25.784	93.311	1.355
-25.257	72.367	568.138	25.772	93.362	1.358
-25.279	72.408	568.133	25.756	93.418	1.360
-25.288	72.446	568.128	25.738	93.453	1.360
-25.282	72.481	568.124	25.719	93.541	1.343
-25.295	72.533	568.123	25.709	93.608	1.316
-25.293	72.550	568.110	25.699	93.688	1.310
-25.280	72.579	568.111	25.672	93.769	1.288
-25.266	72.617	568.102	25.632	93.850	1.283
-25.254	72.645	568.099	25.605	93.940	1.273
-25.241	72.674	568.090	25.576	94.020	1.257
-25.227	72.711	568.078	25.560	94.101	1.230
-25.221	72.746	568.065	25.533	94.189	1.230
-25.207	72.784	568.057	25.504	94.279	1.210
-25.191	72.831	568.044	25.492	94.336	1.173
-25.196	72.893	568.027	25.472	94.417	1.157
-25.179	72.948	568.014	25.437	94.499	1.157
-25.177	73.006	567.997	25.415	94.589	1.122
-25.151	73.064	567.981	25.390	94.659	1.114
-25.145	73.099	567.972	25.371	94.731	1.103
-25.147	73.130	567.951	25.332	94.819	1.106
-25.145	73.188	567.938	25.311	94.865	1.090
-25.147	73.220	567.938	25.294	94.932	1.090
-25.175	73.234	567.929	25.256	95.010	1.091
-25.185	73.264	567.920	25.226	95.066	1.081
-25.217	73.293	567.914	25.205	95.142	1.074
-25.243	73.317	567.901	25.180	95.197	1.071
-25.258	73.360	567.892	25.161	95.268	1.079
-25.291	73.389	567.878	25.132	95.335	1.077
-25.317	73.412	567.873	25.115	95.399	1.074
-25.327	73.440	567.859	25.093	95.471	1.071
-25.352	73.472	567.849	25.074	95.560	1.048
-25.378	73.495	567.836	25.054	95.628	1.008
-25.384	73.509	567.823	25.014	95.696	0.990
-25.396	73.521	567.818	24.989	95.780	0.986
-25.410	73.525	567.813	24.952	95.854	0.996
-25.430	73.501	567.822	24.915	95.922	0.991
-25.471	73.486	567.825	24.901	95.979	0.997
-25.497	73.460	567.832	24.859	96.034	1.007
-25.531	73.440	567.844	24.844	96.087	1.033
-25.557	73.423	567.860	24.819	96.128	1.058
-25.591	73.402	567.884	24.786	96.178	1.091
-25.634	73.411	567.916	24.770	96.225	1.121
-25.680	73.411	567.948	24.739	96.252	1.147
-25.731	73.417	567.968	24.713	96.285	1.188
-25.775	73.426	567.988	24.706	96.319	1.204
-25.840	73.436	568.011	24.690	96.348	1.253
-25.888	73.427	568.039	24.662	96.414	1.289
-25.949	73.422	568.063	24.642	96.442	1.355
-25.960	73.401	568.080	24.627	96.488	1.381
-25.974	73.364	568.114	24.609	96.548	1.409
-25.963	73.337	568.136	24.592	96.579	1.426
-25.939	73.297	568.159	24.565	96.635	1.457
-25.928	73.270	568.194	24.559	96.668	1.497
-25.903	73.246	568.225	24.540	96.698	1.535
-25.884	73.221	568.256	24.541	96.700	1.541
-25.869	73.219	568.278	24.547	96.721	1.571
-25.869	73.220	568.304	24.531	96.724	1.592
-25.851	73.234	568.335	24.517	96.743	1.602
-25.833	73.257	568.344	24.507	96.760	1.624
-25.812	73.289	568.361	24.493	96.777	1.637
-25.768	73.322	568.354	24.498	96.792	1.639
-25.735	73.341	568.376	24.483	96.805	1.642
-25.699	73.378	568.382	24.480	96.816	1.627
-25.657	73.402	568.388	24.460	96.833	1.632
-25.622	73.430	568.406	24.450	96.813	1.651
-25.586	73.468	568.412	24.445	96.822	1.632
-25.558	73.494	568.425	24.437	96.830	1.656
-25.530	73.529	568.431	24.415	96.838	1.671
-25.517	73.558	568.449	24.415	96.836	1.666
-25.513	73.585	568.457	24.402	96.855	1.668
-25.518	73.598	568.461	24.395	96.860	1.679
-25.523	73.613	568.482	24.389	96.874	1.682
-25.538	73.616	568.503	24.406	96.880	1.683
-25.555	73.602	568.529	24.397	96.874	1.696
-25.595	73.594	568.562	24.385	96.910	1.743
-25.636	73.579	568.591	24.385	96.899	1.748
-25.675	73.573	568.636	24.379	96.907	1.797
-25.729	73.562	568.668	24.385	96.937	1.836
-25.776	73.554	568.717	24.392	96.930	1.892
-25.834	73.566	568.757	24.389	96.960	1.947
-25.868	73.587	568.795	24.395	96.946	1.988
-25.897	73.634	568.837	24.407	96.976	2.034
-25.928	73.672	568.870	24.409	96.988	2.087
-25.944	73.715	568.908	24.407	96.993	2.126
-25.945	73.749	568.938	24.420	96.988	2.187
-25.959	73.795	568.977	24.429	96.988	2.225
-25.955	73.820	569.007	24.434	96.999	2.265
